name,M,N,K
qwen21_ffn_up,4096,12288,4096
qwen21_ffn_down,4096,4096,12288
klein4_single_in,4608,27648,3072
klein4_single_out,4608,3072,12288
klein4_double_ffn_down,4096,3072,9216
klein9_single_in,4608,36864,4096
klein9_single_out,4608,4096,16384
h3_4k_q,4096,7168,5376
h3_4k_attention_out,4096,5376,7168
h3_4k_ffn_down,4096,5376,14336
h3_16k_q,16384,7168,5376
h3_16k_attention_out,16384,5376,7168
h3_16k_ffn_down,16384,5376,14336
krea2_q,4352,6144,6144
krea2_kv,4352,1536,6144
krea2_ffn_up,4352,16384,6144
krea2_ffn_down,4352,6144,16384
